,date,open,high,low,close,volume,outstanding_share,turnover
62,2005-04-11,838.29,841.64,827.8,830.91,549510500.0,224181996.0,2.4511803347490937
63,2005-04-12,828.41,830.28,817.89,818.47,321368800.0,224181996.0,1.4335174355392928
64,2005-04-13,826.91,842.48,826.91,835.63,573497400.0,224181996.0,2.5581777762385522
65,2005-04-14,840.24,841.17,825.38,826.0,463111100.0,224181996.0,2.0657818569873023
66,2005-04-15,822.13,822.13,814.98,817.09,365698200.0,224181996.0,1.6312558837240436
67,2005-04-18,814.55,815.47,803.23,806.39,361839500.0,224181996.0,1.6140435291690418
68,2005-04-19,805.52,811.07,802.59,809.36,360909200.0,224181996.0,1.6098937757695762
69,2005-04-20,808.62,808.62,793.9,798.52,291189400.0,224181996.0,1.2988973476710413
70,2005-04-21,796.12,803.41,790.1,793.44,372009400.0,224181996.0,1.6594080106236542
71,2005-04-22,792.2,800.16,791.64,794.82,372183300.0,224181996.0,1.6601837196596287
72,2005-04-25,792.94,794.46,783.6,790.75,402640700.0,224181996.0,1.7960438714266778
73,2005-04-26,789.89,797.7,784.93,792.3,381002500.0,224181996.0,1.699523185617457
74,2005-04-27,790.47,791.22,781.95,782.43,412660400.0,224181996.0,1.840738361523019
75,2005-04-28,779.7,797.74,773.38,793.88,535077500.0,224181996.0,2.3867996072262647
76,2005-04-29,793.45,798.21,786.39,789.73,410954500.0,224181996.0,1.833128919059138
77,2005-05-09,790.82,795.09,775.32,775.32,303214000.0,224181996.0,1.352535018021697
78,2005-05-10,772.61,780.08,764.85,779.1,422389300.0,224181996.0,1.8841356912532798
79,2005-05-11,778.28,782.21,770.08,771.59,310529900.0,224181996.0,1.3851687715368544
80,2005-05-12,770.82,771.57,753.57,753.88,428574900.0,224181996.0,1.911727559067678
81,2005-05-13,752.32,768.4,749.84,757.3,481831000.0,224181996.0,2.1492849943222025
82,2005-05-16,754.78,756.62,742.41,747.87,326200500.0,224181996.0,1.4550700137400865
83,2005-05-17,745.85,757.88,741.83,750.71,315759600.0,224181996.0,1.4084966930172216
84,2005-05-18,751.56,760.54,743.9,752.66,294306400.0,224181996.0,1.312801229586697
85,2005-05-19,752.98,757.74,742.78,754.78,347507500.0,224181996.0,1.5501133284583657
86,2005-05-20,754.16,760.02,749.71,753.07,295633100.0,224181996.0,1.318719189207326
87,2005-05-23,749.83,749.83,736.47,737.74,260215000.0,224181996.0,1.160731033905149
88,2005-05-24,734.53,740.23,726.27,737.35,387022600.0,224181996.0,1.7263768139525353
89,2005-05-25,737.12,744.52,731.72,737.54,250711500.0,224181996.0,1.118339137278446
90,2005-05-26,737.1,741.36,727.24,728.7,235486700.0,224181996.0,1.0504264579747966
91,2005-05-27,726.94,736.16,723.32,724.52,333722700.0,224181996.0,1.4886240017240278
92,2005-05-30,723.1,731.86,717.82,729.07,250843900.0,224181996.0,1.118929728861902
93,2005-05-31,729.89,737.94,728.45,731.0,292055900.0,224181996.0,1.3027625108663945
94,2005-06-01,730.12,735.56,717.68,719.02,299951200.0,224181996.0,1.3379807716583985
95,2005-06-02,716.8,718.51,697.02,701.37,425631000.0,224181996.0,1.8985958176587918
96,2005-06-03,699.42,706.88,693.55,700.43,334160700.0,224181996.0,1.4905777714638602
97,2005-06-06,699.27,717.28,693.53,717.21,356022100.0,224181996.0,1.5880940769213243
98,2005-06-07,718.4,731.75,712.14,713.62,467138400.0,224181996.0,2.0837462790722943
99,2005-06-08,729.8,775.0,720.4,772.13,1424482500.0,224181996.0,6.354134254384995
100,2005-06-09,774.3,790.39,762.37,778.58,1448081300.0,224181996.0,6.459400513143794
101,2005-06-10,777.98,777.98,761.98,766.66,1009550700.0,224181996.0,4.5032639463161885
102,2005-06-13,762.0,765.6,747.42,759.92,675693900.0,224181996.0,3.0140417698841437
103,2005-06-14,761.98,772.86,753.85,754.55,625742200.0,224181996.0,2.791224144511587
104,2005-06-15,752.3,754.46,743.55,745.22,472439400.0,224181996.0,2.107392245718073
105,2005-06-16,745.2,757.87,742.96,757.39,508383600.0,224181996.0,2.2677271550388016
106,2005-06-17,761.09,765.33,756.19,762.18,639626100.0,224181996.0,2.8531555228012153
107,2005-06-20,764.1,781.81,759.34,780.29,804594300.0,224181996.0,3.5890228223322627
108,2005-06-21,779.89,779.89,769.31,770.3,461727100.0,224181996.0,2.0596083014623527
109,2005-06-22,768.02,774.53,766.03,774.15,402290400.0,224181996.0,1.7944813017009626
110,2005-06-23,773.58,776.21,767.75,768.33,317339800.0,224181996.0,1.4155454303297397
111,2005-06-24,766.6,772.7,764.42,772.32,381535000.0,224181996.0,1.7018984878696504
112,2005-06-27,776.6,786.48,776.6,782.38,607254700.0,224181996.0,2.70875766491079
113,2005-06-28,779.68,779.68,773.38,775.63,360953000.0,224181996.0,1.6100891527435592
114,2005-06-29,782.57,782.88,771.42,772.02,525068000.0,224181996.0,2.3421506158772893
115,2005-06-30,770.96,770.96,755.89,758.72,429535100.0,224181996.0,1.9160106862461872
116,2005-07-01,756.24,756.24,746.74,748.05,328197700.0,224181996.0,1.463978846900801
117,2005-07-04,744.29,747.67,738.32,747.09,295202800.0,224181996.0,1.3167997665610935
118,2005-07-05,743.72,745.98,736.24,741.2,380680400.0,224181996.0,1.6980864065462242
119,2005-07-06,742.14,744.08,732.47,734.77,285762500.0,224181996.0,1.274689783741599
120,2005-07-07,733.87,739.21,731.65,735.55,244490700.0,224181996.0,1.0905902541790198
121,2005-07-08,733.93,733.93,725.37,727.56,262778600.0,224181996.0,1.1721663857431264
122,2005-07-11,734.72,744.93,725.58,726.9,329788800.0,224181996.0,1.4710762054237398
123,2005-07-12,724.16,756.25,721.85,753.06,726452000.0,224181996.0,3.2404564726955147
124,2005-07-13,751.89,754.1,745.84,748.55,396495200.0,224181996.0,1.7686308761386886
125,2005-07-14,746.67,759.27,745.07,753.64,419549600.0,224181996.0,1.8714687507733672
126,2005-07-15,752.86,757.79,744.93,748.52,333882800.0,224181996.0,1.4893381536312131
127,2005-07-18,746.77,750.76,743.13,746.92,293764700.0,224181996.0,1.3103848892486443
128,2005-07-19,745.29,752.14,743.54,747.48,315655100.0,224181996.0,1.408030553889796
129,2005-07-20,747.58,755.66,744.99,753.55,390002700.0,224181996.0,1.7396700313079556
130,2005-07-21,753.45,757.38,750.74,756.98,357412000.0,224181996.0,1.5942939503491618
131,2005-07-22,761.12,774.8,756.33,768.72,1002735200.0,224181996.0,4.4728623078188665
132,2005-07-25,767.3,770.33,764.16,764.65,406598200.0,224181996.0,1.8136969393385185
133,2005-07-26,764.6,785.24,764.6,780.75,998226000.0,224181996.0,4.452748292953909
134,2005-07-27,781.08,792.74,780.45,792.49,787326200.0,224181996.0,3.5119956733724504
135,2005-07-28,792.55,797.4,787.86,789.85,708435000.0,224181996.0,3.16008873433351
136,2005-07-29,788.74,792.45,785.78,788.63,563501900.0,224181996.0,2.5135912341506677
137,2005-08-01,788.22,796.52,786.88,790.0,422743100.0,224181996.0,1.8857138732942675
138,2005-08-02,790.31,797.53,787.82,797.35,460645800.0,224181996.0,2.054784988175411
139,2005-08-03,798.39,805.12,797.05,797.74,774597000.0,224181996.0,3.4552150209243386
140,2005-08-04,796.07,798.53,792.62,795.14,462092000.0,224181996.0,2.0612359968460625
141,2005-08-05,798.2,812.66,797.88,812.33,685386400.0,224181996.0,3.057276731535569
142,2005-08-08,814.12,818.98,811.36,812.72,650889800.0,224181996.0,2.903399075811601
143,2005-08-09,811.9,815.12,806.51,814.61,550879700.0,224181996.0,2.4572878724837475
144,2005-08-10,814.68,822.24,812.88,822.16,700321600.0,224181996.0,3.1238976032669457
145,2005-08-11,822.57,832.89,821.71,832.24,954925700.0,224181996.0,4.259600311525462
146,2005-08-12,833.96,834.98,817.79,822.33,1008524400.0,224181996.0,4.498685969412102
147,2005-08-15,832.15,839.87,826.46,839.51,993365500.0,224181996.0,4.431067247701729
148,2005-08-16,840.07,842.84,824.45,828.23,827817100.0,224181996.0,3.69261187236463
149,2005-08-17,828.22,834.03,817.85,833.84,715173100.0,224181996.0,3.190145117630231
150,2005-08-18,841.7,843.32,812.01,814.29,1546582300.0,224181996.0,6.898780132192239
151,2005-08-19,813.11,820.78,809.22,817.68,831383300.0,224181996.0,3.7085194834289905
152,2005-08-22,819.36,824.77,814.64,823.08,825990300.0,224181996.0,3.6844631359246174
153,2005-08-23,823.2,823.45,811.14,818.05,646263100.0,224181996.0,2.882760933219633
154,2005-08-24,818.19,830.54,818.19,825.45,742881600.0,224181996.0,3.3137433569821546
155,2005-08-25,825.55,828.74,816.44,823.58,689105500.0,224181996.0,3.073866377744268
156,2005-08-26,823.76,825.0,817.87,822.2,596951600.0,224181996.0,2.662799023343516
157,2005-08-29,821.79,822.49,808.49,811.31,578123900.0,224181996.0,2.578815026698219
158,2005-08-30,809.98,814.56,807.44,809.06,413086000.0,224181996.0,1.8426368190601712
159,2005-08-31,809.56,817.51,806.58,816.76,392936600.0,224181996.0,1.7527571661017773
160,2005-09-01,817.23,828.97,814.6,827.9,663805600.0,224181996.0,2.9610120876968193
161,2005-09-02,829.24,831.66,825.68,829.46,553176800.0,224181996.0,2.4675344580302516
162,2005-09-05,829.77,832.45,823.36,829.34,576209100.0,224181996.0,2.570273752045637
163,2005-09-06,829.55,830.05,815.15,815.75,613558700.0,224181996.0,2.7368776750475536
164,2005-09-07,815.03,825.6,812.99,825.12,593964100.0,224181996.0,2.6494727970929475
165,2005-09-08,826.65,830.67,822.12,827.12,712356500.0,224181996.0,3.177581218431118
166,2005-09-09,827.0,832.12,820.94,823.64,548476700.0,224181996.0,2.4465689028837088
167,2005-09-12,824.44,826.06,818.96,821.98,389478100.0,224181996.0,1.7373299682816634
168,2005-09-13,821.54,830.34,819.6,829.92,518563300.0,224181996.0,2.3131353509761774
169,2005-09-14,831.19,834.26,828.16,834.01,673494000.0,224181996.0,3.0042287606360683
170,2005-09-15,834.44,835.0,831.06,833.51,501905900.0,224181996.0,2.2388323279983644
171,2005-09-16,833.56,834.97,828.64,830.62,426771700.0,224181996.0,1.9036840942392181
172,2005-09-19,831.04,832.57,828.22,831.57,447420600.0,224181996.0,1.9957918476200918
173,2005-09-20,832.22,833.1,824.09,827.27,580745400.0,224181996.0,2.5905086508374207
174,2005-09-21,827.01,827.01,810.11,811.14,677982000.0,224181996.0,3.0242482094770895
175,2005-09-22,808.89,809.35,789.94,796.94,637333900.0,224181996.0,2.8429307944960933
176,2005-09-23,796.09,800.68,791.51,793.16,368138100.0,224181996.0,1.642139451733671
177,2005-09-26,793.31,796.48,790.44,793.73,326669400.0,224181996.0,1.4571616179204685
178,2005-09-27,793.71,796.37,781.13,782.24,399539200.0,224181996.0,1.7822091297643723
179,2005-09-28,781.73,787.86,780.76,783.0,309605900.0,224181996.0,1.3810471203048795
180,2005-09-29,784.15,792.71,784.15,792.25,461185400.0,224181996.0,2.0571919611243
181,2005-09-30,792.79,794.94,789.69,793.65,278292600.0,224181996.0,1.2413690883544457
182,2005-10-10,792.76,793.81,787.04,787.75,224197300.0,224181996.0,1.000068265963695
183,2005-10-11,787.27,796.38,785.74,796.07,220438100.0,224181996.0,0.9832997472285866
184,2005-10-12,796.04,797.97,791.73,795.32,395783200.0,224181996.0,1.7654548851460845
185,2005-10-13,795.05,797.59,787.82,788.36,362651500.0,224181996.0,1.6176655863122924
186,2005-10-14,788.4,790.79,775.31,777.49,319598200.0,224181996.0,1.4256193882759434
187,2005-10-17,776.26,777.24,765.71,769.32,391225300.0,224181996.0,1.7451236360657616
188,2005-10-18,769.57,773.78,767.14,771.45,458133400.0,224181996.0,2.0435780222065647
189,2005-10-19,771.04,777.75,767.65,769.68,379093400.0,224181996.0,1.691007336735462
190,2005-10-20,768.62,774.06,764.43,773.68,347059800.0,224181996.0,1.5481162903019206
191,2005-10-21,773.52,777.86,770.81,774.06,414627500.0,224181996.0,1.849512928772389
192,2005-10-24,774.58,774.58,767.04,771.15,504026100.0,224181996.0,2.248289822524374
193,2005-10-25,771.02,771.37,763.79,765.03,425217800.0,224181996.0,1.89675267232432
194,2005-10-26,763.12,763.12,747.0,749.12,542256700.0,224181996.0,2.418823588313488
195,2005-10-27,747.5,753.73,744.08,751.26,538031200.0,224181996.0,2.3999750631179144
196,2005-10-28,751.21,756.16,742.23,749.96,504593200.0,224181996.0,2.2508194636646914
197,2005-10-31,749.19,761.79,747.73,759.24,486388900.0,224181996.0,2.1696162434025257
198,2005-11-01,758.27,759.53,748.72,757.05,342356700.0,224181996.0,1.5271373531708585
199,2005-11-02,757.93,768.1,757.93,762.94,461265600.0,224181996.0,2.057549706177119
200,2005-11-03,763.06,767.12,753.54,755.78,495662600.0,224181996.0,2.2109830800150427
201,2005-11-04,755.54,760.34,753.55,758.92,333720800.0,224181996.0,1.4886155264671654
202,2005-11-07,758.45,758.73,749.21,754.2,273829800.0,224181996.0,1.2214620481833875
203,2005-11-08,753.32,759.67,749.39,758.32,353818200.0,224181996.0,1.578263225027223
204,2005-11-09,758.5,763.74,755.3,756.17,468470000.0,224181996.0,2.089686095934305
205,2005-11-10,756.21,756.56,745.05,746.35,390146300.0,224181996.0,1.7403105823002842
206,2005-11-11,745.17,748.52,740.09,746.45,313211300.0,224181996.0,1.3971295893002933
207,2005-11-14,746.06,746.99,740.98,743.34,190915600.0,224181996.0,0.8516098679039329
208,2005-11-15,743.37,748.56,737.44,739.23,285656200.0,224181996.0,1.2742156154234616
209,2005-11-16,739.07,744.17,733.03,744.14,310162200.0,224181996.0,1.3835285863009268
210,2005-11-17,743.8,745.97,739.58,743.8,291839900.0,224181996.0,1.3017990079809978
211,2005-11-18,743.93,765.04,743.3,760.57,670200900.0,224181996.0,2.9895393562291237
212,2005-11-21,758.23,760.82,754.98,758.56,465111000.0,224181996.0,2.0747027339340844
213,2005-11-22,758.42,758.42,747.26,747.31,491024600.0,224181996.0,2.1902945319480516
214,2005-11-23,746.4,755.53,744.4,754.16,522361400.0,224181996.0,2.3300773894438875
215,2005-11-24,753.44,765.62,752.71,761.66,783833800.0,224181996.0,3.4964172591272673
216,2005-11-25,761.55,766.79,758.46,766.68,778202600.0,224181996.0,3.471298382052054
217,2005-11-28,765.27,770.84,760.21,762.9,527320400.0,224181996.0,2.352197809854454
218,2005-11-29,761.92,763.1,753.92,755.29,452758400.0,224181996.0,2.019601966609308
219,2005-11-30,754.49,759.96,751.9,759.63,413264200.0,224181996.0,1.8434317089406234
220,2005-12-01,759.35,763.65,756.53,758.94,324492600.0,224181996.0,1.4474516499531924
221,2005-12-02,758.69,762.6,753.38,757.02,382121800.0,224181996.0,1.7045160040416447
222,2005-12-05,756.04,756.06,750.18,751.35,380336200.0,224181996.0,1.6965510468556984
223,2005-12-06,750.16,762.0,748.01,760.2,500898100.0,224181996.0,2.2343368733321474
224,2005-12-07,760.01,767.71,758.67,767.54,459375200.0,224181996.0,2.0491172716652946
225,2005-12-08,767.78,772.74,762.46,765.56,411250800.0,224181996.0,1.834450613063504
226,2005-12-09,765.25,777.65,762.99,777.03,503754500.0,224181996.0,2.247078306859218
227,2005-12-12,776.19,777.46,772.61,774.71,346547500.0,224181996.0,1.545831093412158
228,2005-12-13,774.06,774.8,767.61,773.59,372990300.0,224181996.0,1.6637834734953472
229,2005-12-14,773.04,780.69,768.63,778.49,505377900.0,224181996.0,2.2543197447488157
230,2005-12-15,778.47,784.18,777.1,778.23,617065700.0,224181996.0,2.752521214950731
231,2005-12-16,777.93,782.86,776.01,782.04,421359800.0,224181996.0,1.8795434402323725
232,2005-12-19,781.93,783.48,777.86,781.8,349617700.0,224181996.0,1.5595262163693109
233,2005-12-20,781.5,787.23,779.9,787.23,392396800.0,224181996.0,1.7503493010205868
234,2005-12-21,787.06,791.64,783.04,783.98,392017000.0,224181996.0,1.748655141780431
235,2005-12-22,783.16,788.45,781.94,787.39,308402700.0,224181996.0,1.375680052380299
236,2005-12-23,788.1,791.65,786.77,791.44,434414900.0,224181996.0,1.9377778222654418
237,2005-12-26,791.39,798.34,790.98,795.56,582536700.0,224181996.0,2.5984990337939537
238,2005-12-27,796.66,797.02,790.4,792.16,488013800.0,224181996.0,2.1768643722843826
239,2005-12-28,792.09,793.65,787.87,793.54,525619200.0,224181996.0,2.3446093324996538
240,2005-12-29,793.32,802.1,793.12,801.9,694629200.0,224181996.0,3.0985057337075363
241,2005-12-30,804.06,804.61,793.77,796.4,720453100.0,224181996.0,3.2136974103843734
242,2006-01-04,801.41,812.84,800.21,812.6,997307300.0,224181996.0,4.448650283227918
243,2006-01-05,815.47,829.09,813.25,827.84,1153632700.0,224181996.0,5.145964977490878
244,2006-01-06,828.88,842.69,824.53,836.9,1211249900.0,224181996.0,5.402975803641252
245,2006-01-09,837.76,841.13,832.33,838.29,903786600.0,224181996.0,4.031486096680128
246,2006-01-10,837.94,838.85,826.96,838.56,875412100.0,224181996.0,3.9049170567648974
247,2006-01-11,837.97,842.06,829.32,832.28,912504600.0,224181996.0,4.070374143693502
248,2006-01-12,830.69,837.97,827.5,836.58,644727500.0,224181996.0,2.875911141410303
249,2006-01-13,838.38,840.68,828.34,831.14,674453700.0,224181996.0,3.008509657483824
250,2006-01-16,830.48,830.48,814.57,814.89,698572300.0,224181996.0,3.116094568093684
251,2006-01-17,813.88,819.95,813.12,818.36,535048100.0,224181996.0,2.3866684637779745
252,2006-01-18,818.03,836.2,817.54,835.15,743448500.0,224181996.0,3.3162721059901705
253,2006-01-19,835.93,842.74,830.58,840.59,891361200.0,224181996.0,3.9760605931976802
254,2006-01-20,840.09,844.43,836.68,840.38,871186100.0,224181996.0,3.8860663012385706
255,2006-01-23,840.96,843.09,835.67,840.13,710968700.0,224181996.0,3.171390712392444
256,2006-01-24,841.73,843.78,834.75,838.46,749015500.0,224181996.0,3.341104608596669
