,date,open,high,low,close,volume
229,2009-05-31,1930.84,2000.38,1927.03,1991.28,8393807200.0
230,2009-06-07,2021.73,2191.19,2021.73,2160.42,26884415600.0
231,2009-06-14,2161.1,2227.66,2138.64,2156.53,21032211200.0
232,2009-06-21,2164.45,2316.37,2150.55,2309.22,19296235800.0
233,2009-06-28,2334.95,2374.62,2279.12,2344.4,21621581600.0
234,2009-07-05,2347.89,2509.22,2341.78,2508.28,21109776800.0
235,2009-07-12,2511.17,2562.2,2432.42,2519.07,25168475200.0
236,2009-07-19,2500.64,2630.96,2466.4,2604.35,23457561200.0
237,2009-07-26,2615.3,2752.57,2597.24,2743.02,26759869600.0
238,2009-08-02,2753.68,2829.8,2583.07,2816.89,31085104300.0
239,2009-08-09,2832.82,2849.41,2621.11,2634.49,24611853200.0
240,2009-08-16,2658.58,2673.02,2445.31,2463.52,17189997200.0
241,2009-08-23,2418.32,2453.71,2206.6,2367.57,17659504600.0
242,2009-08-30,2384.34,2388.07,2177.92,2193.52,17052207400.0
243,2009-09-06,2163.01,2262.54,2033.44,2237.49,16717672200.0
244,2009-09-13,2254.75,2364.75,2211.44,2356.98,15445226800.0
245,2009-09-20,2361.99,2405.6,2279.08,2296.32,16476686400.0
246,2009-09-27,2271.08,2307.73,2166.24,2226.0,12603430600.0
247,2009-10-04,2230.92,2242.33,2144.6,2198.41,5601176000.0
248,2009-10-11,2251.82,2309.72,2246.28,2308.68,2430082200.0
249,2009-10-18,2322.77,2402.35,2285.9,2358.97,11958971200.0
250,2009-10-25,2354.3,2498.61,2344.4,2481.54,15087877600.0
251,2009-11-01,2488.6,2499.16,2341.92,2376.03,11992323200.0
252,2009-11-08,2319.7,2536.55,2313.79,2512.42,14900293400.0
253,2009-11-15,2515.84,2549.64,2471.88,2523.99,15011995800.0
254,2009-11-22,2540.49,2627.92,2540.49,2583.01,18764433400.0
255,2009-11-29,2586.83,2615.25,2379.95,2388.94,21552635600.0
256,2009-12-06,2411.91,2589.0,2405.6,2587.15,21365034400.0
257,2009-12-13,2587.07,2606.71,2486.69,2507.2,14691725200.0
258,2009-12-20,2502.42,2569.06,2414.17,2424.68,15297639000.0
259,2009-12-27,2417.99,2435.18,2342.75,2406.6,11735335600.0
260,2010-01-03,2412.67,2563.97,2412.67,2553.8,12887009800.0
261,2010-01-10,2565.11,2570.15,2432.01,2466.16,14707762900.0
262,2010-01-17,2584.53,2584.53,2384.16,2427.81,18500533600.0
263,2010-01-24,2414.89,2450.28,2317.48,2380.05,16334932400.0
264,2010-01-31,2355.36,2389.63,2231.65,2243.99,10537996800.0
265,2010-02-07,2238.62,2278.48,2182.95,2219.6,10219785200.0
266,2010-02-14,2220.84,2286.68,2201.8,2284.39,6019506600.0
267,2010-02-21,,,,,0.0
268,2010-02-28,2282.09,2291.78,2202.21,2274.32,8524094500.0
269,2010-03-07,2282.34,2320.31,2258.96,2267.94,8333911300.0
270,2010-03-14,2272.61,2318.31,2265.2,2274.53,7995924900.0
271,2010-03-21,2274.71,2318.05,2232.95,2310.55,7388861700.0
272,2010-03-28,2314.44,2330.67,2253.61,2292.67,8780389400.0
273,2010-04-04,2309.92,2386.14,2306.28,2379.19,12402787800.0
274,2010-04-11,2391.25,2403.82,2316.71,2345.75,7606950200.0
275,2010-04-18,2350.12,2374.56,2301.65,2329.12,11352019900.0
276,2010-04-25,2296.88,2296.88,2169.47,2185.16,13412026400.0
277,2010-05-02,2190.09,2197.59,2103.42,2149.45,9849740100.0
278,2010-05-09,2103.67,2130.76,1956.83,1980.17,8860574300.0
279,2010-05-16,1987.1,2051.27,1943.52,2019.73,10741859100.0
280,2010-05-23,1994.47,1994.47,1874.32,1943.43,9856089700.0
281,2010-05-30,1955.07,2017.32,1927.67,1973.62,10179132100.0
282,2010-06-06,1961.7,1975.59,1876.2,1894.45,8016967500.0
283,2010-06-13,1863.67,1914.08,1829.44,1883.2,8141327300.0
284,2010-06-20,1897.62,1901.57,1865.33,1870.87,2479644100.0
285,2010-06-27,1880.13,1938.74,1873.69,1915.91,7294348800.0
286,2010-07-04,1915.3,1931.51,1771.49,1812.58,7618043900.0
287,2010-07-11,1795.48,1883.43,1776.38,1870.3,7246077900.0
288,2010-07-18,1868.42,1897.63,1818.18,1839.22,8002411700.0
289,2010-07-25,1822.44,1956.42,1818.52,1945.45,11014997000.0
290,2010-08-01,1948.63,2002.11,1929.8,1986.76,12394745700.0
291,2010-08-08,1984.12,2022.54,1934.57,1979.23,12775733800.0
292,2010-08-15,1974.97,1992.43,1902.62,1930.67,11897327800.0
293,2010-08-22,1926.39,2005.3,1920.46,1967.06,13285895000.0
294,2010-08-29,1963.31,1982.47,1903.91,1917.58,8385058300.0
295,2010-09-05,1926.12,1949.93,1905.73,1929.19,11239741000.0
296,2010-09-12,1938.54,1983.51,1897.95,1915.64,12687027800.0
297,2010-09-19,1914.38,1939.82,1845.07,1857.31,11050180000.0
298,2010-09-26,1859.42,1873.71,1844.16,1864.41,2659227700.0
299,2010-10-03,1869.98,1914.24,1856.82,1913.11,9065769400.0
300,2010-10-10,1933.42,1997.49,1932.6,1990.01,4058764800.0
301,2010-10-17,2005.7,2255.57,2005.7,2254.39,35631943600.0
302,2010-10-24,2270.41,2321.69,2212.61,2231.06,30538922000.0
303,2010-10-31,2232.02,2310.01,2180.86,2189.48,21960926400.0
304,2010-11-07,2198.46,2308.04,2198.46,2279.0,24348030000.0
305,2010-11-14,2287.5,2294.69,2126.78,2130.58,24424138000.0
306,2010-11-21,2135.51,2144.08,1978.69,2039.44,17252811000.0
307,2010-11-28,2015.83,2042.02,1957.08,2018.4,13207995000.0
