上榜时间,股票代码,股票名称,现价,涨跌幅,成交额,上榜涨幅,榜间涨幅
2024-06-03 13:07:44,300458,全志科技,21.36,2.94,87257.19,-0.29,0.48
2024-06-03 13:07:44,002463,沪电股份,33.64,7.65,188271.87,1.63,0.13
2024-06-03 13:07:44,002938,鹏鼎控股,30.54,2.14,37562.61,0.87,-0.03
2024-06-03 13:07:44,300661,圣邦股份,79.0,1.84,14452.80,-0.44,-0.03
2024-06-03 13:07:44,300408,三环集团,29.34,0.86,17701.11,-1.00,-0.27
2024-06-03 13:11:54,600171,上海贝岭,16.69,0.24,148816.50,-1.02,0.12
2024-06-03 13:11:54,300661,圣邦股份,78.93,1.75,14659.86,-0.53,0.02
2024-06-03 13:11:54,002938,鹏鼎控股,30.5,2.01,38525.41,0.74,0.00
2024-06-03 13:11:54,300408,三环集团,29.31,0.76,18139.21,-1.10,-0.10
2024-06-03 13:11:54,300458,全志科技,21.29,2.6,88250.17,-0.63,-0.10
2024-06-03 13:11:54,002463,沪电股份,33.38,6.82,191118.38,0.80,-0.12
2024-06-03 13:16:10,600171,上海贝岭,16.9,1.5,151220.49,0.24,1.26
2024-06-03 13:16:10,002938,鹏鼎控股,30.39,1.64,39538.92,0.37,0.13
2024-06-03 13:16:10,300661,圣邦股份,79.0,1.84,15005.34,-0.44,0.09
2024-06-03 13:16:10,300458,全志科技,21.3,2.65,89106.94,-0.58,0.05
2024-06-03 13:16:10,002463,沪电股份,33.54,7.33,194688.71,1.31,0.03
2024-06-03 13:16:10,300408,三环集团,29.29,0.69,18454.19,-1.17,-0.07
2024-06-03 13:20:21,300661,圣邦股份,79.2,2.1,15188.74,-0.18,0.26
2024-06-03 13:20:21,600171,上海贝岭,16.93,1.68,156146.23,0.42,0.18
2024-06-03 13:20:21,300408,三环集团,29.3,0.72,18780.60,-1.14,0.03
2024-06-03 13:20:21,002463,沪电股份,33.63,7.62,196184.34,1.60,0.00
2024-06-03 13:20:21,002938,鹏鼎控股,30.25,1.17,40368.92,-0.10,0.00
2024-06-03 13:20:21,300458,全志科技,21.17,2.02,90268.21,-1.21,-0.63
2024-06-03 13:24:33,300458,全志科技,21.22,2.27,91186.98,-0.96,0.25
2024-06-03 13:24:33,300408,三环集团,29.32,0.79,19110.70,-1.07,0.07
2024-06-03 13:24:33,002463,沪电股份,33.65,7.68,198432.02,1.66,0.03
2024-06-03 13:24:33,002938,鹏鼎控股,30.26,1.2,40886.93,-0.07,0.00
2024-06-03 13:24:33,300661,圣邦股份,79.04,1.9,15308.06,-0.38,-0.20
2024-06-03 13:24:33,600171,上海贝岭,16.81,0.96,157619.46,-0.30,-0.72
2024-06-03 13:29:13,600171,上海贝岭,17.02,2.22,160273.08,0.96,1.26
2024-06-03 13:29:13,300458,全志科技,21.26,2.46,91839.71,-0.77,0.19
2024-06-03 13:29:13,002463,沪电股份,33.55,7.36,199661.60,1.34,0.03
2024-06-03 13:29:13,002938,鹏鼎控股,30.37,1.57,41696.98,0.30,-0.04
2024-06-03 13:29:13,300661,圣邦股份,78.96,1.79,15451.98,-0.49,-0.11
